acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,song_title,artist
0.00764,0.287,0.721,0,0.328,-5.81,0.0387,169.252,0.763,Cornerstone,Arctic Monkeys
0.154,0.528,0.489,0.102,0.134,-6.249,0.195,114.054,0.53,Work This Time,King Gizzard & The Lizard Wizard
0.0108,0.511,0.622,0.00000451,0.127,-5.727,0.0242,99.934,0.425,Dreams Tonite,Alvvays
0.000391,0.379,0.86,0.183,0.412,-6.086,0.0439,128.213,0.407,Holding Out For You,Pond
0.678,0.44,0.608,0.58,0.367,-7.278,0.0298,128.66,0.305,Allergies,Pond
0.314,0.488,0.453,0.691,0.179,-11.562,0.0304,138.077,0.129,Street Spirit (Fade Out),Radiohead
0.793,0.541,0.251,0,0.228,-11.729,0.0329,134.041,0.642,Time In A Bottle,Jim Croce
0.218,0.378,0.727,0.0704,0.24,-3.693,0.0357,134.047,0.695,Nervous Young Inhumans,Car Seat Headrest
0.0631,0.558,0.781,0.0177,0.55,-7.577,0.0611,101.84,0.514,True Blue (feat. Angel Olsen),Mark Ronson
0.784,0.444,0.0924,0,0.304,-15.605,0.0366,108.917,0.219,White Ferrari,Frank Ocean
0.154,0.41,0.509,0.742,0.116,-8.614,0.0277,154.375,0.318,One Thing,Beach House
0.0249,0.431,0.663,0.0397,0.117,-10.066,0.0351,203.908,0.855,Everytime,boy pablo
0.00461,0.483,0.695,0.000661,0.102,-5.493,0.0313,126.212,0.294,Pristine,Snail Mail
0.726,0.47,0.516,0.0532,0.0938,-7.671,0.0287,102.282,0.187,On the Sea,Beach House
0.00174,0.377,0.65,0.0000575,0.107,-5.902,0.029,180.074,0.365,Cherry-coloured Funk,Cocteau Twins
0.0002,0.504,0.682,0.00205,0.147,-5.702,0.0332,123.848,0.207,Heat Wave,Snail Mail
0.877,0.24,0.116,0.00092,0.1,-13.216,0.0329,77.349,0.0937,Moon River,Frank Ocean
0.314,0.488,0.453,0.691,0.179,-11.562,0.0304,138.077,0.129,Street Spirit (Fade Out),Radiohead
0.374,0.368,0.853,0.0617,0.524,-3.307,0.0381,142.522,0.629,Bodys,Car Seat Headrest
0.000923,0.331,0.959,0.0000046,0.292,-4.979,0.0703,133.69,0.318,Tired Of Sex,Weezer
0.899,0.257,0.409,0.00293,0.109,-10.828,0.0363,145.759,0.0794,Only Ones Who Know,Arctic Monkeys
0.161,0.262,0.567,0.263,0.225,-11.075,0.0344,172.857,0.377,(Nice Dream),Radiohead
0.0355,0.327,0.948,0.515,0.126,-4.355,0.0711,177.328,0.469,Adult Diversion,Alvvays
0.00487,0.387,0.922,0,0.187,-5.192,0.0674,146.478,0.417,The View From The Afternoon,Arctic Monkeys
0.682,0.481,0.718,0.000056,0.186,-3.151,0.0318,115.076,0.46,Sober To Death,Car Seat Headrest
0.122,0.652,0.669,0.00039,0.169,-7.797,0.0262,115.047,0.769,Your Dog,Soccer Mommy
0.894,0.679,0.372,0.809,0.0984,-10.09,0.0417,74,0.201,Intro,Bladee
0.372,0.787,0.544,0.0111,0.238,-9.572,0.045,100.045,0.147,Sun,Bladee
0.0105,0.553,0.62,0.806,0.137,-17.08,0.0788,144.984,0.169,The Silent Boy Cries (Ripsquadd Outro),Bladee
0.0822,0.792,0.682,0.000138,0.0853,-5.597,0.036,124.976,0.777,Rainbow,Bladee
0.00362,0.488,0.543,0.0000151,0.11,-11.781,0.065,148.195,0.2,Dg Jeans,Bladee
0.357,0.735,0.517,0.011,0.0887,-10.708,0.0511,155.042,0.846,Black Boy,Ecco2k
0.11,0.485,0.689,0,0.254,-6.96,0.0479,80.053,0.33,Under Your Spell,Bladee
0.332,0.705,0.555,0,0.111,-8.674,0.0947,145.082,0.384,Mallwhore Freeestyle,Bladee
0.605,0.798,0.703,0.0000291,0.153,-6.63,0.133,87.98,0.517,Obedient,Bladee
0.298,0.485,0.578,0,0.217,-9.258,0.0446,126.006,0.0656,Into Dust,Bladee
0.598,0.699,0.841,0.0083,0.0858,-4.891,0.166,170.946,0.784,Legendary Member,Thaiboy Digital
0.074,0.449,0.63,0.00000879,0.483,-9.019,0.0674,139.017,0.332,Be Nice 2 Me,Bladee
0.219,0.547,0.65,0.0223,0.0811,-5.659,0.0357,148.064,0.507,Hero of My Story 3style3,Bladee
0.0271,0.689,0.603,0.137,0.137,-9.933,0.0817,138.053,0.323,Linkdin,Bladee
0.597,0.791,0.52,0.000192,0.0938,-8.656,0.1,141.115,0.6,Mean Girls,Bladee
0.652,0.388,0.338,0.00000372,0.248,-10.054,0.0328,177.784,0.477,Mr. Blue Sky,Electric Light Orchestra
0.0000362,0.234,0.865,0.000532,0.289,-5.131,0.0516,137.107,0.194,Walk,Foo Fighters
0.0221,0.517,0.626,0.587,0.136,-9.021,0.0375,149.862,0.114,Girls just want to have fun,Bladee
0.679,0.613,0.485,0.586,0.16,-10.87,0.0887,170.182,0.165,Decay,Bladee
0.0271,0.741,0.406,0.00784,0.105,-8.143,0.0682,80.022,0.668,Reality Surf,Bladee
